Date,Open,High,Low,Close,Volume,Adj Close
2/2/17,94.769997,95.129997,93.5,93.769997,3804400,93.769997
2/1/17,95.809998,96.519997,94.400002,95.110001,3582500,95.110001
1/31/17,96.589996,96.629997,94.589996,95.660004,5724700,95.660004
1/30/17,98.400002,98.589996,96.57,96.790001,5221800,96.790001
1/27/17,97.690002,99.459999,97.5,98.989998,6371400,98.989998
1/26/17,98.449997,98.980003,96.019997,97.220001,9097300,97.220001
1/25/17,97.82,98.589996,97.32,98.150002,7557900,98.150002
1/24/17,95.019997,96.730003,94.800003,96.239998,5768200,96.239998
1/23/17,94.599998,94.739998,93.559998,94.459999,3254900,94.459999
1/20/17,94.010002,95,93.620003,94.580002,5045200,94.580002
1/19/17,93.580002,93.980003,92.959999,93.379997,3540100,93.379997
1/18/17,92.790001,93.419998,92.529999,93.330002,3425700,93.330002
1/17/17,94.239998,94.290001,93.220001,93.57,5040300,92.799999
1/13/17,94.07,94.629997,93.68,94.480003,2609500,93.702515
1/12/17,94.370003,94.370003,92.779999,93.989998,3102700,93.216541
1/11/17,94.470001,94.75,93.389999,94.650002,3720500,93.871114
1/10/17,92.980003,94.440002,92.769997,93.830002,3980200,93.057862
1/9/17,92.93,93.489998,92.199997,92.370003,3087600,91.609877
1/6/17,93.449997,93.599998,92.410004,93.040001,4023100,92.274362
1/5/17,93.18,94.459999,92.419998,93,4698800,92.23469
1/4/17,94.459999,94.5,93.43,93.57,3772100,92.799999
1/3/17,94,95.190002,93.25,93.989998,5054900,93.216541
12/30/16,93.040001,93.25,92.330002,92.739998,3471200,91.976828
12/29/16,93.279999,93.849998,93,93.290001,2387200,92.522305
12/28/16,94.599998,94.900002,92.82,93.150002,2700300,92.383457
12/27/16,94.339996,94.800003,94.099998,94.550003,1735200,93.771938
12/23/16,93.790001,94.400002,93.639999,94.32,1545900,93.543828
12/22/16,93.779999,94.449997,93.720001,94.120003,2534900,93.345476
12/21/16,94.260002,94.300003,93.68,93.82,2829300,93.047942
12/20/16,93.639999,94.830002,93.300003,94.339996,4302400,93.56366
12/19/16,91.93,92.779999,91,92.709999,3856300,91.947076
12/16/16,94.349998,94.480003,92.529999,92.580002,7872700,91.818148
12/15/16,93.800003,94.730003,93.050003,94.529999,4200100,93.752099
12/14/16,95.769997,96,93.610001,93.739998,5647400,92.968599
12/13/16,95.739998,96.5,95.18,96.019997,3803300,95.229835
12/12/16,96.010002,96.650002,94.910004,95.080002,3596700,94.297576
