Date,Open,High,Low,Close,Volume,Adj Close
2/2/17,76.089996,76.900002,75.860001,76.169998,1769300,76.169998
2/1/17,75.300003,76.389999,75.169998,76.339996,2182700,76.339996
1/31/17,75.839996,75.870003,75.040001,75.5,1908100,75.5
1/30/17,77.099998,77.279999,75.809998,76,1916300,76
1/27/17,77.949997,78.339996,77.68,77.699997,2071100,77.699997
1/26/17,76.540001,78.360001,76.389999,77.989998,3443800,77.989998
1/25/17,76,76.860001,75.68,76.669998,3940700,76.669998
1/24/17,73.709999,76.470001,73,76.050003,5094400,76.050003
1/23/17,72.970001,73.339996,72.230003,72.779999,2345700,72.779999
1/20/17,73.209999,73.690002,72.660004,73.029999,3151400,73.029999
1/19/17,73.639999,73.839996,72.589996,72.949997,1461800,72.949997
1/18/17,73.160004,73.599998,72.620003,73.449997,1985700,73.449997
1/17/17,73.099998,73.150002,72.440002,72.970001,2725100,72.970001
1/13/17,73.839996,74.050003,73.239998,73.599998,1942300,73.599998
1/12/17,74.010002,74.550003,73.650002,74.110001,2386400,74.110001
1/11/17,73.559998,74.080002,73.279999,74.029999,2152200,74.029999
1/10/17,73.599998,73.93,73.150002,73.559998,2520200,73.559998
1/9/17,73.029999,75.25,73.029999,73.720001,3504500,73.720001
1/6/17,73.75,73.75,72.940002,73.379997,2364900,73.379997
1/5/17,73.870003,74.199997,73.279999,73.809998,1963900,73.809998
1/4/17,73.75,74.529999,73.75,74.169998,2684100,74.169998
1/3/17,73.470001,74.099998,72.68,73.610001,2630700,73.610001
12/30/16,73.910004,74,72.75,73.400002,2532400,73.400002
12/29/16,74.220001,74.690002,73.760002,73.809998,1626500,73.809998
12/28/16,75.25,75.309998,74.220001,74.379997,1625200,74.379997
12/27/16,75.110001,75.339996,74.889999,74.959999,1328300,74.959999
12/23/16,75.059998,75.059998,74.580002,74.93,1080800,74.93
12/22/16,75.139999,75.410004,74.800003,75.07,1612700,75.07
12/21/16,75.260002,75.860001,75.150002,75.459999,1861100,75.459999
12/20/16,75.099998,75.379997,74.809998,75.260002,2128900,75.260002
12/19/16,74.959999,75.150002,74.629997,75.029999,2351500,75.029999
12/16/16,75.040001,75.199997,74.290001,74.860001,4997200,74.860001
12/15/16,73.809998,75,73.5,74.889999,3768000,74.889999
12/14/16,74.769997,74.879997,73.379997,73.709999,5129000,73.709999
12/13/16,75.330002,75.379997,74.5,74.75,2425300,74.75
12/12/16,75.040001,75.669998,74.720001,75.089996,3652800,75.089996
12/9/16,74.900002,74.980003,74.199997,74.849998,2358800,74.849998
12/8/16,74,74.970001,73.519997,74.68,2861600,74.68
12/7/16,72.580002,74.019997,72.5,73.82,3136900,73.82
12/6/16,72.589996,72.800003,72.019997,72.730003,1981400,72.730003
12/5/16,73.480003,74.040001,72.650002,72.889999,3432100,72.889999
12/2/16,73.730003,73.790001,72.900002,73.129997,3233800,73.129997
12/1/16,73.75,74.599998,73.470001,73.620003,4813100,73.620003
11/30/16,71.580002,73.690002,71.110001,73.610001,5184800,73.610001
11/29/16,70.769997,71.330002,70.349998,71.199997,2473000,71.199997
11/28/16,70.889999,71.059998,70.290001,70.889999,2835000,70.889999
11/25/16,70.690002,71,70.300003,71,1591900,71
11/23/16,70.68,70.860001,70.260002,70.32,3139100,70.32
11/22/16,70.059998,71.199997,69.809998,70.910004,3726700,70.910004
11/21/16,69.18,70.150002,69.099998,70.07,3007500,70.07
11/18/16,69.019997,69.07,68.459999,68.839996,1842100,68.839996
11/17/16,69.199997,69.25,68.260002,69.169998,1878500,69.169998
11/16/16,68.370003,69.639999,68.279999,68.879997,1836600,68.879997
11/15/16,69.129997,69.169998,67.480003,68.639999,2202500,68.639999
11/14/16,69.629997,69.959999,68.599998,69.07,3368500,69.07
11/11/16,70.730003,70.900002,67.720001,69.209999,5649400,69.209999
11/10/16,69.970001,71.220001,69.790001,70.949997,4866700,70.949997
11/9/16,66.199997,70.370003,66.190002,70.279999,5745600,69.900001
11/8/16,69.660004,69.709999,69.110001,69.260002,4315700,68.885519
11/7/16,69.440002,69.720001,68.879997,69.510002,3047100,69.134167
11/4/16,68.690002,68.93,68.169998,68.610001,3505800,68.239032
11/3/16,68.610001,68.699997,68.290001,68.5,2507200,68.129626
11/2/16,68.489998,68.559998,68.010002,68.360001,3055700,67.990384
11/1/16,69,69.019997,67.919998,68.440002,3724500,68.069953
10/31/16,69.669998,69.720001,68.779999,68.790001,2453000,68.418059
10/28/16,70.160004,70.349998,69.110001,69.449997,2648400,69.074487
10/27/16,68.900002,70.449997,68.779999,69.839996,4171000,69.462377
10/26/16,69.139999,69.25,68.57,68.68,2723700,68.308653
10/25/16,70.050003,70.150002,69.059998,69.620003,3288200,69.243573
10/24/16,69.980003,70.169998,69.599998,70.139999,2579000,69.760758
10/21/16,68.739998,69.790001,68.629997,69.699997,1824700,69.323135
10/20/16,69.169998,69.730003,69.010002,69.459999,1390600,69.084435
10/19/16,69.800003,69.970001,69.389999,69.529999,1794600,69.154056
10/18/16,69.269997,69.669998,69.089996,69.5,1946700,69.124219
10/17/16,69.150002,69.629997,68.32,68.660004,2167000,68.288765
10/14/16,68.150002,69.279999,68.150002,69.029999,2109300,68.656759
10/13/16,68.18,68.669998,67.150002,68.139999,2042200,67.771572
10/12/16,69.040001,69.269997,68.370003,68.779999,1444600,68.408111
10/11/16,68.480003,69.010002,68.160004,68.940002,2224700,68.56725
10/10/16,68.849998,69.669998,68.650002,68.940002,1930200,68.56725
10/7/16,69.400002,69.470001,68.120003,68.349998,2390800,67.980436
10/6/16,67.860001,69.110001,67.480003,69.059998,2188200,68.686596
10/5/16,67.220001,68.32,67.029999,68.080002,2114400,67.711899
10/4/16,68.07,68.419998,66.830002,66.879997,2923200,66.518383
10/3/16,67.559998,68.68,67.5,67.839996,2402800,67.473191
9/30/16,66.760002,67.43,66.690002,66.970001,2932100,66.6079
9/29/16,67.089996,67.470001,66.139999,66.370003,1885000,66.011146
9/28/16,67.230003,67.790001,66.470001,67.190002,2702000,66.826712
9/27/16,66.5,67.32,66.330002,67.260002,1765900,66.896333
9/26/16,66.709999,66.989998,66.019997,66.519997,2440400,66.160329
9/23/16,66.580002,67.639999,66.550003,66.769997,2661600,66.408977
9/22/16,67.379997,67.639999,66.580002,66.849998,2486500,66.488546
9/21/16,66.959999,67.279999,66.519997,67,3077300,66.637737
9/20/16,67.82,67.919998,66.690002,66.699997,2555800,66.339356
9/19/16,68.540001,68.540001,66.959999,67.330002,4735800,66.965954
9/16/16,67.559998,67.559998,66.75,67.25,6014000,66.886385
9/15/16,67.029999,67.849998,66.870003,67.559998,3244500,67.194706
9/14/16,66.989998,67.360001,66.760002,67.029999,2934400,66.667573
9/13/16,67.669998,67.669998,66.419998,67.089996,2543500,66.727246
