Date,Open,High,Low,Close,Volume,Adj Close
2/2/17,228.509995,232.330002,227.050003,230.410004,2768600,230.410004
2/1/17,230.509995,232.860001,229.520004,230.669998,4022200,230.669998
1/31/17,232.850006,234.350006,228.160004,229.320007,5133100,229.320007
1/30/17,235.580002,236.289993,231.520004,233.899994,3791200,233.899994
1/27/17,236.899994,237.970001,236.009995,236.949997,3213500,236.949997
1/26/17,237.470001,240.789993,237.470001,239.580002,4187100,239.580002
1/25/17,235.529999,237.330002,234.490005,237.25,3698700,237.25
1/24/17,231.860001,236.059998,230.839996,233.679993,4434700,233.679993
1/23/17,231.860001,233.75,230.75,232.669998,3131400,232.669998
1/20/17,231.619995,233.229996,230.539993,232.199997,5168000,232.199997
1/19/17,234.070007,234.75,230.619995,231.410004,4541400,231.410004
1/18/17,236,237.690002,231.520004,234.289993,7571600,234.289993
1/17/17,242.940002,243.059998,235.610001,235.740005,6264100,235.740005
1/13/17,245.429993,247.770004,242.910004,244.300003,4167900,244.300003
1/12/17,245.059998,245.470001,241.570007,243.839996,4016700,243.839996
1/11/17,242.770004,245.839996,242,245.759995,3508400,245.759995
1/10/17,240.869995,243.440002,239.050003,242.570007,3404300,242.570007
1/9/17,243.25,244.690002,241.470001,242.889999,3018600,242.889999
1/6/17,242.289993,246.199997,241.369995,244.899994,3585800,244.899994
1/5/17,242.720001,243.229996,236.779999,241.320007,3552200,241.320007
1/4/17,241.440002,243.320007,240.029999,243.130005,2717000,243.130005
1/3/17,242.699997,244.970001,237.970001,241.570007,4377500,241.570007
12/30/16,238.509995,240.5,237.399994,239.449997,2342200,239.449997
12/29/16,240.75,241.070007,236.639999,238.179993,2609500,238.179993
12/28/16,243.690002,244.5,240.440002,240.649994,3037000,240.649994
12/27/16,241.949997,242.589996,240.399994,241.559998,1970800,241.559998
12/23/16,239.539993,241.899994,238.910004,240.970001,2184200,240.970001
12/22/16,241.229996,242.860001,239.550003,240.119995,2636500,240.119995
12/21/16,242.240005,242.399994,240.080002,241.440002,3274500,241.440002
12/20/16,240.520004,243.649994,240.229996,243.089996,4481100,243.089996
12/19/16,238.339996,239.740005,236.259995,239.070007,3736200,239.070007
12/16/16,242.800003,243.190002,238.399994,238.899994,6815700,238.899994
12/15/16,242.490005,245.570007,241.619995,243,4804800,243
12/14/16,235.669998,243.119995,235.369995,239.929993,6125500,239.929993
12/13/16,239,240.179993,235.509995,238.550003,4608200,238.550003
12/12/16,240.5,242.830002,236.369995,237.169998,5009800,237.169998
12/9/16,240.610001,242,238.880005,241.850006,5443700,241.850006
12/8/16,236.880005,242.419998,236,241.449997,7321100,241.449997
12/7/16,230.399994,236.089996,230.399994,235.559998,6578500,235.559998
12/6/16,230.179993,232.669998,227.899994,231.380005,5191900,231.380005
12/5/16,225.520004,229.199997,225.240005,228.550003,4583100,228.550003
12/2/16,226,226.25,221.220001,223.360001,5286600,223.360001
12/1/16,220.929993,227.160004,220.350006,226.630005,7586800,226.630005
