Date,Open,High,Low,Close,Volume,Adj Close
2/2/17,122.540001,123.980003,122.260002,123.220001,3235700,123.220001
2/1/17,121.900002,122.5,121.699997,122.419998,3233400,122.419998
1/31/17,123.019997,123.339996,122.099998,122.57,3712600,122.57
1/30/17,122.809998,123.209999,122.300003,123.019997,3767100,123.019997
1/27/17,122.269997,122.989998,121.480003,122.860001,3554200,122.860001
1/26/17,121.860001,122.379997,121.760002,121.879997,2497300,121.879997
1/25/17,121.489998,121.919998,120.949997,121.790001,3415900,121.790001
1/24/17,121.970001,122.059998,120.519997,121.050003,3476900,121.050003
1/23/17,121.690002,122.080002,119.82,121.379997,6997800,121.379997
1/20/17,122.260002,122.949997,122.019997,122.260002,4810400,122.260002
1/19/17,122.239998,123,122.040001,122.18,3153700,122.18
1/18/17,122.809998,123,121.800003,122.709999,3388200,122.709999
1/17/17,120.75,122.800003,120.699997,122.75,4069800,122.75
1/13/17,122.239998,122.239998,121.099998,121.5,2877400,121.5
1/12/17,120.300003,122.309998,120.199997,122.099998,3480700,122.099998
1/11/17,120.93,121.5,120.620003,120.879997,3548900,120.879997
1/10/17,120.459999,120.849998,119.730003,120.25,3107500,120.25
1/9/17,120.760002,121.059998,120.330002,120.43,2976700,120.43
1/6/17,118.93,121.5,118.519997,120.760002,4087100,120.760002
1/5/17,119.339996,120.199997,119.099998,119.699997,3660800,119.699997
1/4/17,119,119.739998,118.18,119.480003,3774400,119.480003
1/3/17,121.860001,122,118.959999,119.620003,5116000,119.620003
12/30/16,122.790001,123.160004,121.440002,121.720001,3552800,121.720001
12/29/16,122.760002,123.360001,122.760002,122.790001,1943300,122.790001
12/28/16,122.93,123.349998,122.610001,122.68,1947100,122.68
12/27/16,123.300003,123.650002,122.970001,123.07,1919300,123.07
12/23/16,123.370003,123.830002,123.07,123.139999,2164100,123.139999
12/22/16,123.120003,124,123.089996,123.720001,2946100,123.720001
12/21/16,123.150002,123.760002,123.099998,123.18,2762800,123.18
12/20/16,123.18,123.900002,122.709999,123.330002,2766000,123.330002
12/19/16,123.230003,123.660004,122.769997,122.989998,3537700,122.989998
12/16/16,122.889999,123.839996,122.540001,123.239998,10564800,123.239998
12/15/16,122.970001,123.360001,121.769997,122.360001,4391100,122.360001
12/14/16,122.870003,123.400002,122.389999,122.839996,4807400,122.839996
12/13/16,121.779999,122.919998,121.760002,122.68,4127200,122.68
12/12/16,121.57,122.25,121.260002,121.739998,4172000,121.739998
12/9/16,120.57,121.269997,120.209999,121.260002,2622400,121.260002
12/8/16,120.050003,121.150002,119.5,120.449997,3255100,120.449997
12/7/16,119.410004,120.129997,118.470001,119.919998,4013900,119.919998
12/6/16,119.290001,119.650002,118.599998,119.25,3317300,119.25
12/5/16,119.449997,120.339996,119.029999,119.290001,5179300,119.290001
12/2/16,118,118.5,117.709999,118.239998,3342600,118.239998
12/1/16,118.959999,118.959999,117.870003,118.470001,4431100,118.470001
11/30/16,120.220001,120.489998,119.269997,119.269997,5481000,119.269997
11/29/16,120.379997,120.790001,119.019997,120.68,6370900,120.68
11/28/16,120.379997,121.870003,120.230003,121.82,5931700,120.88
11/25/16,120.080002,120.989998,119.919998,120.660004,1709100,119.728955
11/23/16,119.730003,120.760002,119.730003,120.139999,2860200,119.212963
11/22/16,119.5,120.290001,118.879997,119.690002,3699100,118.766439
11/21/16,119.800003,120.5,118.959999,119.5,3603300,118.577902
11/18/16,119.260002,120.239998,118.910004,120,3655400,119.074044
11/17/16,118.889999,119.5,118.279999,119.449997,2836600,118.528285
11/16/16,118.860001,119.599998,118.470001,119.209999,5371100,118.290139
11/15/16,117.580002,118.480003,117.019997,118.32,4447900,117.407007
11/14/16,114.989998,118.75,114.720001,117.860001,7093200,116.950558
11/11/16,114.669998,114.959999,114.169998,114.220001,4331200,113.338646
11/10/16,115.029999,115.040001,113.779999,114.510002,4437700,113.626409
11/9/16,112.089996,115.419998,111.800003,114.980003,5099500,114.092783
11/8/16,113.010002,114.25,113,114.110001,3300200,113.229494
11/7/16,112,113.279999,111.879997,112.82,3842400,111.949447
11/4/16,111.989998,112,110.830002,111.040001,3457400,110.183183
11/3/16,112.739998,112.849998,111.519997,111.720001,3890700,110.857936
11/2/16,112.099998,112.769997,111.82,112.389999,3512500,111.522765
11/1/16,112.650002,112.769997,111.949997,112.25,3935600,111.383846
10/31/16,112.459999,112.730003,111.790001,112.57,4181600,111.701376
10/28/16,112.260002,112.349998,111.529999,112.099998,3304700,111.235001
10/27/16,112.169998,112.489998,111.779999,112.080002,2960700,111.215159
10/26/16,112.269997,112.699997,111.400002,112.110001,3763100,111.244926
10/25/16,113.5,113.540001,112.669998,112.720001,4879000,111.85022
10/24/16,114.25,114.5,112.639999,113.57,6173500,112.69366
10/21/16,113.269997,114.5,112.75,113.93,10108000,113.050882
10/20/16,111.300003,111.300003,110.330002,110.57,7250700,109.716809
10/19/16,111.709999,111.769997,111.120003,111.260002,6433400,110.401487
10/18/16,112.889999,113.089996,111.230003,111.25,6198400,110.391562
10/17/16,113.910004,114.400002,112.099998,112.410004,5655700,111.542615
10/14/16,114.900002,115.110001,114.07,114.089996,5312500,113.209644
10/13/16,114.139999,115.739998,114.07,115.410004,4464700,114.519466
10/12/16,113.599998,115.230003,113.540001,114.709999,3340200,113.824863
10/11/16,114.650002,115.230003,113.559998,113.68,3943300,112.802812
10/10/16,114.209999,114.989998,114.160004,114.709999,3290300,113.824863
10/7/16,113.970001,114.339996,113.220001,113.449997,4153100,112.574583
10/6/16,113.25,114.220001,112.400002,113.919998,3900000,113.040958
10/5/16,113.910004,114.830002,113.379997,113.410004,3720300,112.534898
10/4/16,114.989998,115.510002,113.419998,113.5,4742900,112.6242
10/3/16,115.010002,115.150002,114.410004,114.639999,3085800,113.755403
9/30/16,114.690002,115.709999,114.690002,115.360001,4188700,114.469848
9/29/16,115.199997,115.970001,114.730003,114.790001,4924400,113.904247
9/28/16,116.379997,116.529999,114.459999,115.18,5638900,114.291237
9/27/16,116.949997,117.199997,116.370003,116.879997,3745400,115.978116
9/26/16,116.800003,116.940002,116.279999,116.529999,3022400,115.630819
9/23/16,116.489998,117.519997,116.349998,117.169998,2776000,116.26588
9/22/16,117.459999,117.949997,117.279999,117.360001,3808800,116.454416
9/21/16,116.489998,117.050003,115.959999,116.93,4528900,116.027734
9/20/16,115.720001,116.629997,115.5,116.449997,3841800,115.551434
9/19/16,115.830002,116.410004,114.959999,115.209999,3741500,114.321004
9/16/16,115.68,116.260002,114.830002,115.279999,9500500,114.390464
9/15/16,114.879997,116.239998,114.769997,116.139999,3671200,115.243829
9/14/16,115,115.660004,114.82,115.18,4530700,114.291237
9/13/16,115.610001,115.610001,114.480003,114.730003,4162200,113.844712
9/12/16,114.470001,116.18,114.129997,115.949997,5014000,115.055292
9/9/16,115.599998,115.760002,114.580002,114.580002,4961100,113.695868
9/8/16,116.82,117.110001,116.040001,116.169998,3085600,115.273596
9/7/16,117.269997,117.489998,116.440002,116.919998,2647700,116.017809
9/6/16,117.089996,119.239998,116.910004,117.25,6337900,116.345264
9/2/16,115.93,116.110001,115.699997,115.830002,3410100,114.936223
9/1/16,115.510002,115.809998,114.860001,115.400002,3966600,114.509541
8/31/16,115.510002,116,115.199997,115.660004,5394700,114.767537
8/30/16,115.410004,115.870003,114.599998,115.360001,5085300,114.469848
8/29/16,114.599998,115.650002,114.5,115.410004,4983000,113.636329
8/26/16,115.629997,115.720001,113.959999,114.440002,5294500,112.681236
8/25/16,115.099998,115.779999,114.879997,115.43,6694100,113.656019
8/24/16,115.150002,115.400002,114.730003,114.870003,4135400,113.104628
8/23/16,115.910004,116.120003,115.050003,115.190002,4305400,113.419709
8/22/16,115,115.730003,114.650002,115.419998,4484700,113.64617
8/19/16,116.800003,116.800003,115,115.010002,7065700,113.242475
8/18/16,117.239998,117.370003,116.800003,117.129997,3710500,115.329889
8/17/16,117.980003,117.980003,116.519997,117.099998,5184900,115.300352
8/16/16,118.309998,118.529999,117.919998,117.940002,3333900,116.127446
8/15/16,119.019997,119.25,118.519997,118.519997,3391600,116.698527
8/12/16,119.57,120.019997,119.279999,119.519997,3015700,117.683158
8/11/16,118.870003,119.75,118.849998,119.379997,3490200,117.54531
8/10/16,118,118.940002,117.650002,118.800003,2941700,116.97423
8/9/16,117.980003,119.129997,117.599998,118.309998,3491700,116.491755
8/8/16,119.169998,119.370003,118.199997,118.290001,3589300,116.472066
8/5/16,118.779999,119.449997,118.599998,119.209999,3883800,117.377925
8/4/16,117.849998,118.550003,117.580002,118.300003,4313200,116.481914
8/3/16,117.769997,118.019997,117.139999,117.519997,4120000,115.713895
8/2/16,118.18,118.709999,117.110001,117.699997,4504200,115.891129
8/1/16,117.879997,118.389999,117.739998,118.010002,4208800,116.19637
7/29/16,119.139999,119.660004,117.43,117.650002,7460900,115.841902
7/28/16,119.589996,120.18,118.360001,119.419998,6239400,117.584697
7/27/16,121.690002,121.790001,119.239998,119.480003,9939200,117.64378
7/26/16,123.5,124.349998,120.970001,121.709999,14563700,119.839504
7/25/16,127.949997,127.949997,126.860001,127.400002,6210100,125.442059
7/22/16,127.290001,128.600006,127.290001,128.259995,4304200,126.288836
7/21/16,126.419998,127.230003,125.93,127.18,3572100,125.225439
7/20/16,126.839996,126.870003,125.559998,126.059998,3353300,124.122649
7/19/16,124.080002,126.599998,123.75,126.5,6277700,124.55589
7/18/16,124,124,123.389999,123.800003,5254700,121.897387
7/15/16,124.419998,124.440002,123.389999,123.610001,3688400,121.710305
7/14/16,123.699997,124.209999,123.010002,123.93,6011900,122.025387
7/13/16,122.360001,123.019997,122.160004,122.82,3464200,120.932445
7/12/16,122,122.589996,121.959999,122.25,3742000,120.371206
7/11/16,121.690002,122.120003,121.459999,122,4266300,120.125048
7/8/16,121.220001,121.690002,121.080002,121.309998,3809600,119.44565
7/7/16,120.889999,121.239998,120.410004,120.919998,3621300,119.061644
7/6/16,119.290001,120.959999,119,120.629997,5102800,118.7761
7/5/16,120.120003,120.800003,120.099998,120.760002,5191100,118.904107
7/1/16,119.720001,120.860001,119.660004,120.400002,3798100,118.549639
6/30/16,119.68,120.449997,119.300003,120.339996,4808100,118.490556
6/29/16,119.160004,119.959999,119,119.489998,5020400,117.65362
6/28/16,117.199997,118.639999,116.830002,118.5,6173000,116.678837
6/27/16,118.160004,118.160004,116.080002,116.300003,14150500,114.512651
6/24/16,118.760002,121.110001,118.290001,119.440002,6985900,117.604393
6/23/16,121.480003,121.75,120.639999,121.209999,3832800,119.347188
6/22/16,121.309998,121.449997,120.050003,120.620003,6578900,118.766259
6/21/16,123.919998,124,122.309998,122.629997,4749000,120.745363
6/20/16,123.32,124.080002,123.269997,123.419998,5951000,121.523223
