Date,Open,High,Low,Close,Volume,Adj Close
2/2/17,174.130005,174.779999,173.550003,174.179993,3097700,174.179993
2/1/17,175.169998,175.800003,174.300003,175.169998,2263400,175.169998
1/31/17,174.740005,175.460007,173.809998,174.820007,1822500,174.820007
1/30/17,177.25,177.729996,174.869995,175.419998,1808600,175.419998
1/27/17,177.479996,177.979996,176.830002,177.479996,1565900,177.479996
1/26/17,176.309998,177.229996,176.039993,176.820007,2233900,176.820007
1/25/17,177.089996,178.630005,176.570007,176.729996,3456900,176.729996
1/24/17,177.5,177.759995,174.419998,175.970001,3449500,175.970001
1/23/17,177.910004,178.990005,177.130005,178.509995,1967100,178.509995
1/20/17,179.199997,179.460007,177.830002,178.490005,1714600,178.490005
1/19/17,179.25,179.800003,177.759995,178.679993,1462300,178.679993
1/18/17,177.899994,179.440002,177.380005,178.490005,1804600,178.490005
1/17/17,177,177.679993,176.25,177.259995,1553300,177.259995
1/13/17,177.580002,177.910004,176.830002,177.389999,1265500,177.389999
1/12/17,176.970001,177.699997,175.75,177.440002,1320700,177.440002
1/11/17,176.630005,178.449997,176.389999,177.889999,1576400,177.889999
1/10/17,177.360001,177.490005,176.309998,176.580002,2023700,176.580002
1/9/17,178.369995,178.380005,177.199997,177.270004,1617800,177.270004
1/6/17,177.289993,178.600006,175.800003,178.229996,1618300,178.229996
1/5/17,178.259995,179.139999,176.889999,177.710007,1443900,177.710007
1/4/17,178.029999,178.899994,177.610001,178.320007,1536700,178.320007
1/3/17,178.830002,180,177.220001,178.050003,2509300,178.050003
12/30/16,179,179.479996,178.289993,178.570007,1592500,178.570007
12/29/16,178.289993,179.139999,178.029999,178.410004,1102000,178.410004
12/28/16,178.880005,179.449997,178.020004,178.080002,1258400,178.080002
12/27/16,178.660004,179.199997,178.570007,178.919998,651000,178.919998
12/23/16,179.089996,179.289993,178.529999,178.75,731100,178.75
12/22/16,178.889999,179.460007,177.979996,179.199997,1225600,179.199997
12/21/16,178.600006,179.529999,178.419998,178.429993,1555900,178.429993
12/20/16,178.339996,179.330002,178.059998,178.649994,1376100,178.649994
12/19/16,177.610001,178.669998,177.320007,178.160004,1369700,178.160004
12/16/16,176.559998,178.5,176.550003,177.449997,3749600,177.449997
12/15/16,177.259995,177.580002,175.050003,176.020004,2048800,176.020004
12/14/16,179.160004,179.389999,176.410004,176.600006,2175600,176.600006
12/13/16,179.570007,180.059998,176.770004,178.830002,2635500,178.830002
12/12/16,178.25,179.809998,177.570007,179.639999,2287800,179.639999
12/9/16,175.360001,178.869995,175.300003,178.490005,2650400,178.490005
12/8/16,176.080002,176.350006,174.770004,175.880005,1783500,175.880005
12/7/16,172.380005,176.059998,171.970001,176.050003,3138500,176.050003
12/6/16,171.820007,172.029999,171.229996,171.800003,1439200,171.800003
12/5/16,172.630005,172.949997,171.089996,171.619995,2176800,171.619995
12/2/16,172.529999,173.690002,172.240005,172.429993,1869300,172.429993
12/1/16,171.639999,172.740005,171.449997,172.630005,1755800,172.630005
11/30/16,172.199997,173.190002,171.589996,171.740005,2527700,171.740005
11/29/16,172.539993,173.289993,172.149994,172.770004,1473200,172.770004
11/28/16,173.559998,173.770004,172.279999,172.5,1672500,172.5
11/25/16,172.210007,173.990005,172.210007,173.490005,945800,173.490005
11/23/16,172.080002,172.75,171.759995,172.25,1477900,172.25
11/22/16,171.669998,172.080002,171.279999,171.910004,1553300,171.910004
11/21/16,171.419998,171.979996,170.720001,171.520004,1993900,171.520004
11/18/16,172.509995,173.279999,172.289993,172.960007,1711100,172.960007
11/17/16,172.009995,173.25,172.009995,172.770004,1783700,172.770004
11/16/16,173.130005,173.229996,171.570007,172.009995,2022600,172.009995
11/15/16,173.160004,174.25,171.910004,174.240005,2177100,173.130002
11/14/16,175.229996,175.509995,171.899994,172.910004,2607000,171.808473
11/11/16,174.050003,175.130005,173.729996,175.080002,1868200,173.964647
11/10/16,170.160004,174.669998,169.789993,174.279999,3280000,173.16974
11/9/16,165.839996,171,165.839996,170.389999,3659300,169.304522
11/8/16,169.899994,172.050003,169.779999,171.029999,1955700,169.940445
11/7/16,168.149994,169.889999,167.979996,169.740005,1930900,168.658669
11/4/16,167.210007,167.850006,166.419998,166.479996,1927500,165.419428
11/3/16,166.139999,167.639999,165.259995,166.830002,2505000,165.767204
11/2/16,164.699997,166.369995,163.910004,165.729996,2233400,164.674205
11/1/16,165.399994,165.809998,163.850006,164.25,2455600,163.203638
10/31/16,166.460007,166.539993,165.179993,165.300003,2289100,164.246952
10/28/16,166.550003,167.179993,165.139999,165.770004,1934300,164.713959
10/27/16,166.869995,166.949997,165.279999,165.759995,1486400,164.704013
10/26/16,165.690002,167.789993,165.410004,166.509995,2174900,165.449235
10/25/16,169.470001,169.889999,165.110001,166.229996,3826200,165.17102
