Date,Open,High,Low,Close,Volume,Adj Close
2/2/17,62.639999,64.209999,62.529999,64.18,18572400,64.18
2/1/17,62.060001,62.27,61.560001,62.099998,11011400,62.099998
1/31/17,61.060001,62.240002,60.919998,61.990002,9724400,61.990002
1/30/17,61.52,61.709999,60.93,61.43,7813800,61.43
1/27/17,61.380001,61.990002,61.299999,61.75,6611700,61.75
1/26/17,61.02,61.360001,60.540001,61.200001,12692200,61.200001
1/25/17,61.32,61.380001,60.759998,61.080002,13716800,61.080002
1/24/17,61.59,61.689999,60.73,61.209999,10444500,61.209999
1/23/17,61.810001,62.400002,61.630001,61.810001,10076600,61.810001
1/20/17,62.400002,62.919998,62.150002,62.529999,24732300,62.529999
1/19/17,61.049999,61.080002,60.07,60.330002,11252700,60.330002
1/18/17,61.380001,61.779999,61.080002,61.169998,8111800,61.169998
1/17/17,61.919998,62.07,61.200001,61.48,10576600,61.48
1/13/17,62.330002,62.68,62.099998,62.34,9943400,62.34
1/12/17,62.529999,63.240002,62.119999,62.209999,24808400,62.209999
1/11/17,62.34,63.16,60.75,61.630001,32547200,61.630001
1/10/17,61.200001,61.240002,59.889999,59.919998,14994700,59.919998
1/9/17,60.299999,61.48,60.080002,61.099998,9698400,61.099998
1/6/17,60.09,60.459999,59.529999,60.27,10238600,60.27
1/5/17,60.220001,60.580002,60,60.110001,8994300,60.110001
1/4/17,60.5,60.790001,60.040001,60.130001,9389400,60.130001
1/3/17,59.150002,60.380001,59.049999,60.150002,11986700,60.150002
12/30/16,58.779999,58.950001,58.560001,58.869999,10753300,58.869999
12/29/16,59.290001,59.59,58.98,59.040001,6487700,59.040001
12/28/16,59.720001,59.860001,59.209999,59.27,6056600,59.27
12/27/16,59.869999,60.139999,59.560001,59.790001,5809600,59.790001
12/23/16,59.77,59.860001,59.25,59.560001,7590000,59.560001
12/22/16,59.619999,60,59.16,59.580002,10100000,59.580002
12/21/16,60.59,60.810001,59.34,59.43,12052200,59.43
12/20/16,61.189999,61.68,60.369999,60.5,10377100,60.5
12/19/16,61.799999,62.27,60.869999,61.139999,11939000,61.139999
12/16/16,62.66,63.029999,62.049999,62.439999,17563700,62.439999
12/15/16,62,62.639999,61.84,62.369999,8509400,62.369999
12/14/16,61.849998,62.759998,61.59,61.799999,11080700,61.799999
12/13/16,61.799999,61.959999,61.25,61.790001,7842200,61.790001
12/12/16,61.439999,62.099998,61.299999,61.720001,8246000,61.250002
12/9/16,60.490002,61.509998,60.400002,61.23,10516400,60.763731
12/8/16,59.73,60.360001,59.5,60.119999,8586600,59.662183
12/7/16,59.700001,60.060001,58.619999,60.060001,14049600,59.602643
12/6/16,60.18,60.389999,59.610001,60.279999,10659600,59.820965
12/5/16,61.52,61.529999,59.84,60.25,12985200,59.791194
12/2/16,61.049999,61.52,60.630001,61.130001,7993100,60.664494
12/1/16,61.299999,61.369999,60.650002,60.759998,8398900,60.297309
11/30/16,62.310001,62.32,60.990002,61.189999,12530700,60.724035
11/29/16,61.950001,62.459999,61.919998,62.189999,10034900,61.71642
11/28/16,61.779999,62.060001,61.619999,61.799999,7449400,61.32939
11/25/16,61.82,62.400002,61.75,62.209999,3501300,61.736268
11/23/16,60.330002,61.700001,59.82,61.639999,9149000,61.170609
11/22/16,62.5,62.650002,61.209999,61.700001,9592200,61.230153
11/21/16,61.939999,62.389999,61.720001,62.299999,6836700,61.825583
11/18/16,62.57,62.619999,61.73,61.869999,7696900,61.398857
11/17/16,62.509998,62.790001,62.119999,62.700001,8361300,62.222538
11/16/16,63.700001,63.950001,62.450001,62.630001,10780200,62.153072
11/15/16,63.68,63.73,63.080002,63.650002,7290400,63.165305
11/14/16,64,64.089996,63.240002,63.529999,10124500,63.046216
11/11/16,64.080002,64.510002,63.580002,63.950001,14059700,63.46302
11/10/16,64.540001,65.459999,64.519997,64.959999,17862300,64.465327
11/9/16,63.959999,65,62.759998,64.18,27851100,63.691268
11/8/16,59.82,60.779999,59.52,60.509998,7942100,60.049213
11/7/16,59.52,60.209999,59.48,60.049999,10478300,59.592717
11/4/16,58.689999,59.27,58.610001,58.82,11318600,58.372084
11/3/16,59.18,59.220001,58.290001,58.43,11323000,57.985054
11/2/16,59.060001,59.509998,58.75,58.84,10724700,58.391932
11/1/16,59,59.59,58.509998,59.299999,14347400,58.848428
10/31/16,59.09,59.150002,58.369999,58.720001,14254800,58.272847
10/28/16,61.02,61.07,58.450001,58.84,20358400,58.391932
10/27/16,61.150002,62.060001,61,61.290001,10350700,60.823276
10/26/16,61.740002,61.849998,60.549999,60.869999,9957800,60.406472
10/25/16,60.27,62.189999,59.549999,61.950001,15188500,61.47825
10/24/16,61.400002,61.48,60.639999,60.75,9943000,60.287387
10/21/16,61.549999,61.900002,61.029999,61.200001,7406700,60.733961
10/20/16,61.950001,62.27,61.689999,61.919998,6323400,61.448476
10/19/16,62.130001,62.299999,61.810001,61.869999,5582700,61.398857
10/18/16,61.900002,62.619999,61.830002,62.09,9988000,61.617183
10/17/16,62.049999,62.049999,60.799999,61.52,13054600,61.051524
10/14/16,62.720001,62.860001,62.130001,62.139999,12204200,61.666801
10/13/16,62.25,62.950001,61.939999,62.509998,14541500,62.033983
10/12/16,62.400002,62.630001,61.580002,61.66,10121900,61.190457
10/11/16,63.529999,63.549999,61.75,61.93,13955400,61.458402
10/10/16,64.209999,64.860001,63.439999,63.900002,20345900,63.413401
10/7/16,62.77,62.990002,62.029999,62.77,10775200,62.292005
10/6/16,62.490002,62.689999,61.740002,62.66,11430500,62.182842
10/5/16,62.700001,63.040001,62.48,62.799999,7871300,62.321775
10/4/16,62.48,62.950001,61.939999,62.459999,7897400,61.984364
10/3/16,62.220001,62.57,61.669998,62.52,7520100,62.043909
9/30/16,61.889999,62.73,61.860001,62.41,13605300,61.934746
9/29/16,63.02,63.02,61.560001,61.91,10930000,61.438553
9/28/16,63,63.48,62.5,63.299999,11795000,62.817968
9/27/16,62.310001,62.700001,61.830002,62.57,7340800,62.093527
9/26/16,62.529999,62.580002,61.880001,62.150002,6983800,61.676727
9/23/16,62.869999,63.25,62.700001,62.959999,7679800,62.480557
9/22/16,62.919998,63.470001,62.830002,63.02,8447800,62.540101
9/21/16,62.259998,62.82,61.860001,62.700001,7219000,62.222538
9/20/16,61.900002,62.41,61.689999,61.939999,9211600,61.468324
9/19/16,62.540001,62.540001,61.32,61.330002,11287700,60.862972
9/16/16,62.450001,62.619999,62.060001,62.279999,12432300,61.805735
9/15/16,61.240002,62.610001,61.119999,62.380001,8997800,61.904976
9/14/16,61.919998,62.34,61.299999,61.349998,10421800,60.882816
9/13/16,62.369999,62.779999,61.369999,61.810001,10223400,61.339316
9/12/16,62,63.490002,61.91,63.189999,10629500,62.252308
9/9/16,62.689999,62.709999,62.32,62.490002,12587500,61.562698
9/8/16,62.450001,63.290001,62.330002,63.240002,9186300,62.301569
9/7/16,63.310001,63.490002,62.599998,62.869999,8668100,61.937056
