Date,Open,High,Low,Close,Volume,Adj Close
2/2/17,162.520004,163.25,160.259995,160.759995,4661500,160.759995
2/1/17,162.75,163.899994,162.029999,162.710007,3718500,162.710007
1/31/17,161.619995,162.190002,160.009995,162.100006,2976600,162.100006
1/30/17,162.940002,163.460007,161.309998,162.089996,2772400,162.089996
1/27/17,163.5,163.800003,162.619995,162.990005,3072500,162.990005
1/26/17,161.860001,163.580002,161.25,162.75,4160400,162.75
1/25/17,160.820007,161.979996,160.350006,161.240005,3316700,161.240005
1/24/17,159.360001,161.309998,159.100006,160.429993,3501200,160.429993
1/23/17,158.619995,159.520004,156.559998,159.070007,3967900,159.070007
1/20/17,159.020004,159.800003,157.809998,158.660004,3503200,158.660004
1/19/17,157.740005,160.550003,157.240005,158.699997,4846000,158.699997
1/18/17,161.059998,161.199997,156.089996,157.740005,6586200,157.740005
1/17/17,162.610001,162.970001,157.509995,160.660004,5380800,160.660004
1/13/17,162.160004,162.740005,161.410004,161.800003,3178900,161.800003
1/12/17,161.690002,162.940002,160.889999,162.360001,2545000,162.360001
1/11/17,161.300003,162.940002,160.610001,161.889999,3318400,161.889999
1/10/17,161.270004,162.979996,160.5,161.580002,3482000,161.580002
1/9/17,162,162.429993,160.779999,161.949997,3040800,161.949997
1/6/17,161.75,162.940002,161.110001,162.410004,2727900,162.410004
1/5/17,161.75,162.630005,161.509995,162.179993,2675600,162.179993
1/4/17,162.350006,162.580002,159.740005,161.910004,2669200,161.910004
1/3/17,161.130005,162.270004,159.149994,161.449997,3539700,161.449997
12/30/16,161.369995,161.479996,159.850006,160.039993,2845500,160.039993
12/29/16,161.919998,162.360001,160.389999,161.039993,2472100,161.039993
12/28/16,162.160004,163.25,161.320007,161.440002,1622500,161.440002
12/27/16,163.259995,163.960007,162.449997,162.639999,1327900,162.639999
12/23/16,161.559998,163.039993,160.550003,163.029999,2044400,163.029999
12/22/16,161.389999,161.880005,160.270004,161.580002,2741700,161.580002
12/21/16,161.419998,162.289993,159.619995,161.330002,2767700,161.330002
12/20/16,161.710007,163.110001,161.410004,161.589996,3127800,161.589996
12/19/16,163.089996,163.940002,161.220001,161.539993,4720900,161.539993
12/16/16,161.380005,164,161.190002,163.940002,6957500,163.940002
12/15/16,159.869995,161.289993,159.429993,160.619995,4422700,160.619995
12/14/16,161.139999,161.800003,158.720001,159.860001,3793700,159.860001
12/13/16,160.399994,161.710007,160.070007,160.539993,3785600,160.539993
12/12/16,158.830002,159.660004,157.75,159.490005,3471200,159.490005
12/9/16,159.520004,160.160004,157.710007,160.119995,4004000,160.119995
12/8/16,159.410004,160.240005,158,159.320007,3405800,159.320007
12/7/16,157.889999,159.979996,156.350006,159.399994,4494600,159.399994
12/6/16,158.169998,158.229996,156.259995,157.320007,3179200,157.320007
12/5/16,160.190002,160.669998,156.229996,157.630005,5818600,157.630005
12/2/16,161,162.520004,160.559998,160.729996,3476000,160.729996
12/1/16,159.119995,161.720001,159.119995,160.940002,5198500,160.940002
11/30/16,157.470001,159.759995,157.070007,158.320007,7142400,158.320007
11/29/16,156.940002,158.119995,155.179993,157.589996,5827400,157.589996
11/28/16,152.740005,152.850006,150,152.110001,4988600,152.110001
11/25/16,153.929993,154.5,152.610001,152.809998,1664500,152.809998
11/23/16,152.009995,153.740005,150.960007,153.539993,2697200,153.539993
11/22/16,151.080002,152.929993,150.559998,152.259995,4992100,152.259995
11/21/16,149.720001,150.660004,148.559998,150.410004,3867800,150.410004
11/18/16,151.050003,151.660004,149.399994,149.449997,5664800,149.449997
11/17/16,151.820007,151.919998,150.190002,150.770004,4683000,150.770004
11/16/16,151.990005,153,151.229996,151.5,3899000,151.5
11/15/16,153.509995,153.960007,151.509995,152.229996,4910700,152.229996
11/14/16,147.320007,152.919998,147.039993,152.279999,5740400,152.279999
11/11/16,146.710007,147.5,146.009995,146.419998,4475400,146.419998
11/10/16,142.339996,146.570007,142,146.130005,6075500,146.130005
11/9/16,139.539993,144.190002,136.220001,141.899994,8042400,141.899994
