Date,Open,High,Low,Close,Volume,Adj Close
2/2/17,82.139999,82.699997,81.57,82.300003,10562300,82.300003
2/1/17,82.900002,83.089996,82.050003,82.440002,7448500,82.440002
1/31/17,82.129997,83.279999,82.099998,82.709999,7361500,82.709999
1/30/17,83.470001,83.739998,82.660004,83.699997,8754200,83.699997
1/27/17,83.32,83.800003,82.919998,83.769997,5064500,83.769997
1/26/17,83.919998,83.919998,83.080002,83.239998,8381500,83.239998
1/25/17,83.790001,84.269997,83.449997,83.900002,9340300,83.900002
1/24/17,82.400002,83.489998,81.849998,83.230003,8367400,83.230003
1/23/17,81.699997,82.300003,81.5,82.150002,7288400,82.150002
1/20/17,82.089996,82.279999,81.610001,81.839996,8567400,81.839996
1/19/17,81.790001,81.849998,81.410004,81.730003,6376900,81.730003
1/18/17,81.269997,81.830002,80.980003,81.589996,8446500,81.589996
1/17/17,80.760002,81.489998,80.760002,81.260002,6317500,81.260002
1/13/17,81.019997,81.849998,80.790001,81.169998,7287000,81.169998
1/12/17,81.050003,81.470001,80.510002,81.370003,6841600,81.370003
1/11/17,81.25,81.800003,80.910004,81.800003,7433600,81.800003
1/10/17,81.699997,81.900002,81.129997,81.309998,6001100,81.309998
1/9/17,82.279999,82.449997,81.650002,81.75,7284100,81.75
1/6/17,81.300003,82.489998,80.940002,82.209999,8891600,82.209999
1/5/17,80.339996,81.529999,80.220001,81.089996,7667500,81.089996
1/4/17,79.440002,80.260002,79.360001,80.150002,7999200,80.150002
1/3/17,78.760002,79.910004,78.489998,79.5,13760600,79.5
12/30/16,78.43,78.540001,77.940002,78.019997,6709200,78.019997
12/29/16,78.489998,78.839996,78.300003,78.330002,6016300,78.330002
12/28/16,78.400002,78.650002,77.970001,78.300003,7412700,78.300003
12/27/16,78.269997,78.849998,78.230003,78.349998,3768500,78.349998
12/23/16,78.080002,78.480003,77.900002,78.150002,6189700,78.150002
12/22/16,78.019997,78.059998,77.190002,77.900002,12049200,77.900002
12/21/16,78.480003,78.550003,77.980003,78.139999,9328700,78.139999
12/20/16,78.410004,78.580002,77.690002,78.360001,6875400,78.360001
12/19/16,78.040001,78.599998,78.019997,78.099998,8672800,78.099998
12/16/16,79.220001,79.459999,78.169998,78.349998,18869100,78.349998
12/15/16,79.370003,80.389999,79.129997,79.5,12801700,79.5
12/14/16,79.279999,79.980003,79.120003,79.129997,18558200,79.129997
12/13/16,78.809998,79.5,78.25,79.199997,12797400,79.199997
12/12/16,78.989998,79.029999,77.919998,78.5,11858400,78.5
12/9/16,79.150002,79.93,78.830002,79.139999,6874300,79.139999
12/8/16,79.68,79.870003,78.970001,79.279999,13251400,79.279999
12/7/16,77.269997,79.489998,77.25,79.309998,13767700,79.309998
12/6/16,77.940002,77.970001,76.709999,77.110001,13812200,77.110001
12/5/16,76.629997,77.599998,76.550003,77.309998,12021100,77.309998
12/2/16,75.400002,76.25,75.169998,75.720001,13564300,75.720001
12/1/16,77.57,77.620003,75.25,75.43,21019100,75.43
11/30/16,79.449997,79.449997,77.279999,77.32,14434300,77.32
11/29/16,79.120003,79.580002,78.949997,79.150002,8526900,79.150002
11/28/16,79.660004,80.010002,79.050003,79.080002,11658200,79.080002
11/25/16,79.989998,80.370003,79.739998,80.129997,6495700,80.129997
11/23/16,79.980003,79.989998,78.949997,79.57,12802600,79.57
11/22/16,81.690002,81.690002,79.260002,79.93,18133900,79.93
11/21/16,81.230003,81.779999,80.900002,81.690002,8942100,81.690002
11/18/16,81.150002,81.5,80.529999,80.82,7920800,80.82
11/17/16,80.32,81.199997,80.18,81.07,8081800,81.07
11/16/16,78.790001,80.190002,78.760002,80.080002,9997700,80.080002
11/15/16,78.230003,79.540001,77.800003,78.57,18523400,78.404999
11/14/16,82.019997,82.220001,77.300003,78.379997,21773500,78.215395
11/11/16,81.589996,82.629997,81.519997,81.879997,7368000,81.708045
11/10/16,83.300003,83.959999,81.419998,81.870003,17171600,81.698072
11/9/16,81.809998,83.300003,81.220001,83.239998,12158500,83.06519
11/8/16,82.389999,83.160004,82.150002,82.879997,7152000,82.705945
11/7/16,81.639999,82.529999,81.449997,82.510002,7277900,82.336727
11/4/16,80.650002,81.239998,80.330002,80.360001,7588100,80.191241
11/3/16,80.75,81.129997,80.540001,80.650002,7563100,80.480632
11/2/16,80.889999,81.379997,80.519997,80.580002,9170900,80.41078
11/1/16,82.639999,82.690002,81.330002,81.620003,10881500,81.448597
10/31/16,82.440002,82.900002,82.360001,82.510002,10024000,82.336727
10/28/16,82.519997,83.360001,82.110001,82.220001,10919600,82.047335
10/27/16,81.959999,82.269997,81.610001,81.919998,7039200,81.747962
10/26/16,81.620003,82.260002,81.410004,81.75,8748400,81.578321
10/25/16,83.169998,83.169998,81.699997,82.029999,15085900,81.857732
10/24/16,83.269997,83.589996,82.709999,83.169998,16267000,82.995337
10/21/16,82.019997,82.540001,81.580002,82.349998,8043200,82.177059
10/20/16,83.050003,83.099998,82.169998,82.5,6945200,82.326746
10/19/16,81.650002,82.870003,81.650002,82.809998,8440900,82.636092
10/18/16,81.5,82.370003,81.349998,81.580002,11680400,81.40868
10/17/16,82.580002,82.690002,82.040001,82.150002,8473700,81.977482
10/14/16,82.040001,83.190002,82.040001,82.449997,6698100,82.276848
10/13/16,81.650002,82.129997,81.110001,81.870003,6810900,81.698072
10/12/16,81.839996,82.540001,81.82,82.25,3923600,82.077271
10/11/16,82.68,82.790001,81.57,82.040001,6227400,81.867713
10/10/16,83.129997,83.540001,82.940002,83.120003,7371500,82.945447
10/7/16,83.489998,83.699997,82.639999,82.879997,8238100,82.705945
10/6/16,83.120003,83.480003,82.879997,83.360001,7687100,83.18494
10/5/16,82.959999,83.449997,82.900002,83.349998,6163400,83.174959
10/4/16,83.279999,83.529999,82.580002,82.730003,5772000,82.556266
10/3/16,82.419998,83.110001,82.300003,82.860001,8155400,82.68599
9/30/16,82.160004,83.040001,81.68,82.699997,9776800,82.526323
9/29/16,82.720001,83.059998,81.790001,81.919998,5885400,81.747962
9/28/16,82.379997,83.010002,81.940002,82.970001,7974300,82.79576
9/27/16,81.790001,82.379997,81.5,82.160004,7969500,81.987464
9/26/16,82.150002,82.260002,81.690002,81.809998,8486800,81.638192
9/23/16,83.330002,83.449997,82.519997,82.540001,8283700,82.366663
9/22/16,83.419998,83.790001,83.199997,83.360001,6599400,83.18494
9/21/16,82.919998,83.25,82.269997,83.220001,7536200,83.045235
9/20/16,82.970001,83.230003,82.32,82.480003,6473300,82.306791
9/19/16,82.43,83.040001,82.230003,82.510002,8361700,82.336727
9/16/16,81.739998,82.260002,81.419998,82.07,11702000,81.897649
9/15/16,81.419998,82.129997,81.190002,82.010002,10580300,81.837777
9/14/16,81.459999,82.220001,81.449997,81.489998,10999500,81.318865
9/13/16,82.410004,82.440002,81.620003,81.889999,8834300,81.718026
9/12/16,81.339996,83.129997,81.18,82.970001,9882700,82.79576
9/9/16,82.400002,82.809998,81.330002,81.330002,11563000,81.159205
9/8/16,83.019997,83.629997,82.589996,82.970001,7961100,82.79576
9/7/16,82.480003,83.260002,82.360001,83.239998,9304700,83.06519
9/6/16,82,82.529999,81.809998,82.529999,8140400,82.356682
9/2/16,81.57,82.150002,81.5,82,6408900,81.827796
9/1/16,81.139999,81.550003,80.970001,81.300003,6240600,81.129269
8/31/16,80.949997,81.199997,80.709999,80.900002,7386100,80.730107
8/30/16,81,81.190002,80.720001,81.169998,4128700,80.999537
8/29/16,80.540001,80.989998,80.540001,80.870003,4766700,80.700172
8/26/16,80.620003,81.139999,80.169998,80.57,7932200,80.400799
8/25/16,80.290001,80.519997,80,80.32,5773700,80.151324
8/24/16,80.800003,80.980003,80.190002,80.290001,5028000,80.121388
8/23/16,81.370003,81.760002,80.800003,80.800003,10007800,80.630319
8/22/16,80.339996,81.080002,79.959999,81.059998,7954500,80.889767
8/19/16,80.010002,80.470001,79.739998,80.470001,8480900,80.30101
8/18/16,80.010002,80.589996,79.910004,80.269997,7453900,80.101426
8/17/16,80.709999,80.860001,80.400002,80.839996,4655400,80.670228
