Date,Open,High,Low,Close,Volume,Adj Close
2/2/17,48.540001,48.59,47.900002,48.279999,17741600,48.279999
2/1/17,49.34,49.369999,48.25,48.389999,26004100,48.389999
1/31/17,49.209999,49.470001,48.93,49.009998,16844200,49.009998
1/30/17,49.490002,49.84,49.18,49.369999,12148700,49.369999
1/27/17,49.349998,49.73,49.27,49.599998,18369300,49.599998
1/26/17,48.75,49.470001,48.509998,49.119999,37877100,49.119999
1/25/17,49.5,49.939999,48.84,49.77,30398600,49.77
1/24/17,50.259998,50.790001,49.790001,50.119999,43484700,50.119999
1/23/17,52.459999,52.700001,52.18,52.41,15695500,52.41
1/20/17,52.599998,53.200001,52.560001,52.720001,15473700,52.720001
1/19/17,52.549999,52.639999,52.18,52.360001,13286100,52.360001
1/18/17,52.52,52.84,52.209999,52.25,12930900,52.25
1/17/17,52.549999,52.889999,52.5,52.740002,11383500,52.740002
1/13/17,52.720001,52.900002,52.41,52.549999,9458700,52.549999
1/12/17,52.43,52.889999,52.27,52.68,11052100,52.68
1/11/17,52.619999,52.75,52.240002,52.459999,16142800,52.459999
1/10/17,52.689999,53.16,52.02,52.759998,11787400,52.759998
1/9/17,53.220001,53.27,52.669998,52.68,14095000,52.68
1/6/17,53.669998,53.779999,53.099998,53.259998,15615000,53.259998
1/5/17,54.779999,54.830002,54.299999,54.639999,13840600,54.061999
1/4/17,54.549999,54.810001,54.330002,54.52,18316100,53.94327
1/3/17,53.959999,54.669998,53.73,54.580002,22891700,54.002636
12/30/16,53.549999,53.639999,53.169998,53.380001,12440800,52.81533
12/29/16,53.59,53.900002,53.509998,53.740002,7150800,53.171522
12/28/16,53.630001,53.830002,53.369999,53.439999,6849500,52.874692
12/27/16,53.689999,53.830002,53.439999,53.639999,6255400,53.072578
12/23/16,53.650002,53.75,53.439999,53.68,7201200,53.112155
12/22/16,52.849998,53.740002,52.720001,53.650002,11101500,53.082474
12/21/16,53.09,53.43,52.970001,52.970001,9656700,52.409667
12/20/16,52.93,53.459999,52.93,53.119999,10366900,52.558078
12/19/16,52.48,53.130001,52.09,52.91,13407000,52.3503
12/16/16,52.060001,52.279999,51.860001,52.27,21262500,51.717071
12/15/16,51.369999,52.130001,51.25,51.810001,13963600,51.261938
12/14/16,52.459999,52.66,51.41,51.630001,19920400,51.083842
12/13/16,52.080002,52.369999,52.060001,52.360001,12211500,51.806119
12/12/16,51.540001,52.43,51.48,51.759998,16186400,51.212464
12/9/16,51.09,51.630001,50.919998,51.490002,10101500,50.945323
12/8/16,51.23,51.279999,50.98,51.130001,11502900,50.589131
12/7/16,50.720001,51.43,50.439999,51.380001,16280600,50.836486
12/6/16,50.150002,50.619999,49.759998,50.360001,13581500,49.827276
12/5/16,49.740002,50.080002,49.740002,49.75,13074700,49.223728
12/2/16,50,50.32,49.599998,49.810001,10650700,49.283095
12/1/16,49.799999,49.990002,49.310001,49.869999,12982800,49.342457
11/30/16,50.549999,50.73,49.900002,49.900002,20698900,49.372143
11/29/16,51.029999,51.150002,50.77,50.959999,11532800,50.420927
11/28/16,50.470001,51.200001,50.450001,51.119999,15982400,50.579234
11/25/16,50.220001,50.799999,50.169998,50.669998,8087100,50.133994
11/23/16,49.299999,50.650002,49.290001,50.23,21456700,49.69865
11/22/16,48.48,49.610001,48.369999,49.490002,22030000,48.96648
11/21/16,48.060001,48.360001,47.919998,48.310001,10773300,47.798962
